ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,liquidez_score,cenario,estruturas_sugeridas,score,status,motivo
PRIO3,PRIOF440,CALL,44.0,2026-06-19,23,CURTO,24.1,80.0,LATERALIDADE,Monitorar — Iron Condor futuro,59.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 80.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
EGIE3,EGIES357,PUT,35.75,2026-07-17,51,MEDIO,3.2,46.6,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.6 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRR384,PUT,37.94,2026-06-19,23,CURTO,0.13,46.7,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.7 ≥ 30 — monitorar confirmação via RTD.
B3SA3,B3SAI930,CALL,8.85,2027-09-17,478,EXTRA_LONGO,9.33,80.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 80.0 ≥ 30 — monitorar confirmação via RTD.
BPAC11,BPACS551,PUT,55.19,2026-07-17,51,MEDIO,2.88,46.2,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 46.2 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBR451W4,PUT,45.15,2026-06-26,30,CURTO,5.29,46.4,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 46.4 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRS232,PUT,21.94,2026-07-17,51,MEDIO,0.01,62.9,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 62.9 ≥ 30 — monitorar confirmação via RTD.
ABEV3,ABEVF181W2,CALL,18.17,2026-06-12,16,CURTO,0.01,46.2,CONTINUACAO_ALTA,"Trava de Alta, Call Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 46.2 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRR392,PUT,38.69,2026-06-19,23,CURTO,0.17,46.2,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 46.2 ≥ 30 — monitorar confirmação via RTD.
BPAC11,BPACG521,CALL,52.19,2026-07-17,51,MEDIO,3.94,46.3,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 46.3 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRH229,CALL,22.44,2026-08-21,86,MEDIO,23.15,62.9,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 62.9 ≥ 30 — monitorar confirmação via RTD.
SUZB3,SUZBS431,PUT,43.13,2026-07-17,51,MEDIO,1.59,46.3,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 46.3 ≥ 30 — monitorar confirmação via RTD.
BPAC11,BPACR725,PUT,72.55,2026-06-19,23,CURTO,10.98,46.2,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 46.2 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBG389,CALL,35.4,2026-07-17,51,MEDIO,6.01,63.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.9,MONITORAR_NO_RTD,Liquidez score 63.0 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBI385,CALL,38.32,2026-09-18,114,LONGO,4.18,62.5,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 62.5 ≥ 30 — monitorar confirmação via RTD.
RADL3,RADLR253,PUT,25.31,2026-06-19,23,CURTO,6.36,46.0,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 46.0 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRA27,CALL,26.25,2027-01-15,233,EXTRA_LONGO,23.88,96.0,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 96.0 ≥ 30 — monitorar confirmação via RTD.
BBDC4,BBDCF159,CALL,15.49,2026-06-19,23,CURTO,0.46,45.9,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 45.9 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBE330,CALL,29.55,2027-05-21,359,EXTRA_LONGO,14.58,96.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 96.0 ≥ 30 — monitorar confirmação via RTD.
WEGE3,WEGEC376,CALL,37.68,2027-03-19,296,EXTRA_LONGO,18.95,96.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 96.0 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRG395,CALL,38.94,2026-07-17,51,MEDIO,6.52,62.6,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 62.6 ≥ 30 — monitorar confirmação via RTD.
