ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,vol_media_5d,vol_media_10d,vol_media_21d,negocios_media_5d,variacao_volume,variacao_preco,moneyness,moneyness_cat,liquidez_score,spot,retorno_5d,retorno_21d,retorno_63d,vol_hist_21d,dist_max,dist_min,vol_relativa,tendencia,cenario,estruturas_sugeridas,score,status,motivo,risco_principal,data_analise,ultima_data_cotahist
SUZB3,SUZBG561,CALL,56.13,2026-07-17,51,MEDIO,0.04,24.0,24.0,24.0,1.0,0.0,0.0,-0.257082,DEEP_OTM,4.0,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
EGIE3,EGIEH384,CALL,38.0,2026-08-21,86,MEDIO,0.15,15.0,15.0,15.0,1.0,0.0,0.0,-0.149737,DEEP_OTM,4.0,32.31,-0.007983,-0.120338,-0.041815,0.213873,-0.338181,0.090081,-0.329785,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
PETR4,PETRG125,CALL,125.23,2026-07-17,51,MEDIO,0.01,1.0,1.0,1.0,1.0,0.0,0.0,-0.644814,DEEP_OTM,4.0,44.48,-0.021773,-0.066918,0.176408,0.26737,-0.106468,0.524854,0.019934,BAIXA_MODERADA,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Recuperação inesperada do ativo antes do vencimento. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
SUZB3,SUZBH486,CALL,48.63,2026-08-21,86,MEDIO,0.53,159.0,159.0,159.0,1.0,0.0,0.0,-0.142505,DEEP_OTM,4.1,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
SUZB3,SUZBG576,CALL,57.63,2026-07-17,51,MEDIO,0.05,5.0,5.0,5.0,1.0,0.0,0.0,-0.276419,DEEP_OTM,4.0,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBX398,PUT,36.22,2026-12-18,205,EXTRA_LONGO,1.26,126.0,126.0,126.0,1.0,0.0,0.0,-0.088625,OTM,4.1,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
SUZB3,SUZBG506,CALL,50.63,2026-07-17,51,MEDIO,0.12,240.0,240.0,240.0,1.0,0.0,0.0,-0.176378,DEEP_OTM,4.1,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBS190,PUT,11.64,2026-07-17,51,MEDIO,0.01,4.0,4.0,4.0,1.0,0.0,-0.5,-2.387457,DEEP_OTM,4.0,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBT365,PUT,27.06,2026-08-21,86,MEDIO,0.03,62.06,62.06,62.06,1.0,0.0,0.5,-0.457132,DEEP_OTM,4.0,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBS240,PUT,16.35,2026-07-17,51,MEDIO,0.01,10.0,10.0,10.0,1.0,0.0,0.0,-1.411621,DEEP_OTM,4.0,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
SUZB3,SUZBS303,PUT,30.38,2026-07-17,51,MEDIO,0.02,4.0,4.0,4.0,1.0,0.0,0.0,-0.372614,DEEP_OTM,4.0,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
EGIE3,EGIEG372,CALL,37.25,2026-07-17,51,MEDIO,0.11,22.0,22.0,22.0,1.0,0.0,0.0,-0.132617,DEEP_OTM,4.0,32.31,-0.007983,-0.120338,-0.041815,0.213873,-0.338181,0.090081,-0.329785,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBX416,PUT,37.92,2026-12-18,205,EXTRA_LONGO,1.42,142.0,142.0,142.0,1.0,0.0,0.0,-0.039821,OTM,4.1,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
SUZB3,SUZBT356,PUT,35.63,2026-08-21,86,MEDIO,0.23,230.0,230.0,230.0,1.0,0.0,0.0,-0.170362,DEEP_OTM,4.1,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
SUZB3,SUZBS313,PUT,31.38,2026-07-17,51,MEDIO,0.03,90.0,90.0,90.0,1.0,0.0,0.0,-0.328872,DEEP_OTM,4.1,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBT210,PUT,20.08,2026-08-21,86,MEDIO,0.01,10.0,10.0,10.0,1.0,0.0,0.0,-0.963645,DEEP_OTM,4.0,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
SUZB3,SUZBU431,PUT,43.13,2026-09-18,114,LONGO,1.86,186.0,186.0,186.0,1.0,0.0,0.0,0.033156,ITM,4.1,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
PETR4,PETRG501W2,CALL,50.19,2026-07-10,44,MEDIO,0.55,55.0,55.0,55.0,1.0,0.0,0.0,-0.113768,DEEP_OTM,4.0,44.48,-0.021773,-0.066918,0.176408,0.26737,-0.106468,0.524854,0.019934,BAIXA_MODERADA,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Recuperação inesperada do ativo antes do vencimento. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBT25,PUT,21.76,2026-08-21,86,MEDIO,0.01,34.33,34.33,34.33,1.0,0.0,0.0,-0.81204,DEEP_OTM,4.0,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
ITUB4,ITUBS283,PUT,24.96,2026-07-17,51,MEDIO,0.01,30.0,30.0,30.0,1.0,0.0,0.0,-0.579728,DEEP_OTM,4.0,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
