filename,size_bytes,tipo,delimiter,n_lines,n_columns,header,columns_list,sample_source
B3SA3_DFP_dfp_cia_aberta_BPP_con_2025.csv,46407,BPP_CON,?,-1,0,ERROR,,sampled_from_type
B3SA3_DFP_dfp_cia_aberta_BPP_ind_2025.csv,46062,BPP_IND,?,-1,0,ERROR,,sampled_from_type
B3SA3_ITR_itr_cia_aberta_2025.csv,723,INDEX_ITR,?,-1,0,ERROR,,sampled_from_type
B3SA3_ITR_itr_cia_aberta_BPA_con_2025.csv,79271,BPA_CON,?,-1,0,ERROR,,sampled_from_type
B3SA3_ITR_itr_cia_aberta_BPA_ind_2025.csv,80194,BPA_IND,?,-1,0,ERROR,,sampled_from_type
B3SA3_ITR_itr_cia_aberta_BPP_con_2025.csv,140242,BPP_CON,?,-1,0,ERROR,,sampled_from_type
B3SA3_ITR_itr_cia_aberta_BPP_ind_2025.csv,140583,BPP_IND,?,-1,0,ERROR,,sampled_from_type
BBAS3_DFP_dfp_cia_aberta_2025.csv,274,INDEX_DFP,?,-1,0,ERROR,,sampled_from_type
BBAS3_DFP_dfp_cia_aberta_BPA_con_2025.csv,15555,BPA_CON,?,-1,0,ERROR,,sampled_from_type
BBAS3_DFP_dfp_cia_aberta_BPA_ind_2025.csv,17993,BPA_IND,?,-1,0,ERROR,,sampled_from_type
BBAS3_DFP_dfp_cia_aberta_BPP_con_2025.csv,16366,BPP_CON,?,-1,0,ERROR,,sampled_from_type
BBAS3_DFP_dfp_cia_aberta_BPP_ind_2025.csv,17574,BPP_IND,?,-1,0,ERROR,,sampled_from_type
BBAS3_ITR_itr_cia_aberta_2025.csv,666,INDEX_ITR,?,-1,0,ERROR,,sampled_from_type
BBAS3_ITR_itr_cia_aberta_BPA_con_2025.csv,46384,BPA_CON,?,-1,0,ERROR,,sampled_from_type
BBAS3_ITR_itr_cia_aberta_BPA_ind_2025.csv,53697,BPA_IND,?,-1,0,ERROR,,sampled_from_type
BBAS3_ITR_itr_cia_aberta_BPP_con_2025.csv,47752,BPP_CON,?,-1,0,ERROR,,sampled_from_type
